name;common_name;iso_639_1;iso_639_2b;iso_639_2t;iso_639_3;is_common;type
Ghotuo;Ghotuo;;;;aaa;false;living
Alumu-Tesu;Alumu-Tesu;;;;aab;false;living
Ari;Ari;;;;aac;false;living
Amal;Amal;;;;aad;false;living
Arbëreshë Albanian;Arbëreshë Albanian;;;;aae;false;living
Aranadan;Aranadan;;;;aaf;false;living
Ambrak;Ambrak;;;;aag;false;living
Abu' Arapesh;Abu' Arapesh;;;;aah;false;living
Arifama-Miniafia;Arifama-Miniafia;;;;aai;false;living
Ankave;Ankave;;;;aak;false;living
Afade;Afade;;;;aal;false;living
Aramanik;Aramanik;;;;aam;false;living
Anambé;Anambé;;;;aan;false;living
Algerian Saharan Arabic;Algerian Saharan Arabic;;;;aao;false;living
Pará Arára;Pará Arára;;;;aap;false;living
Eastern Abnaki;Eastern Abnaki;;;;aaq;false;extinct
Afar;Afar;aa;aar;aar;aar;false;living
Aasáx;Aasáx;;;;aas;false;living
Arvanitika Albanian;Arvanitika Albanian;;;;aat;false;living
Abau;Abau;;;;aau;false;living
Solong;Solong;;;;aaw;false;living
Mandobo Atas;Mandobo Atas;;;;aax;false;living
Amarasi;Amarasi;;;;aaz;false;living
Abé;Abé;;;;aba;false;living
Bankon;Bankon;;;;abb;false;living
Ambala Ayta;Ambala Ayta;;;;abc;false;living
Manide;Manide;;;;abd;false;living
Western Abnaki;Western Abnaki;;;;abe;false;extinct
Abai Sungai;Abai Sungai;;;;abf;false;living
Abaga;Abaga;;;;abg;false;living
Tajiki Arabic;Tajiki Arabic;;;;abh;false;living
Abidji;Abidji;;;;abi;false;living
Aka-Bea;Aka-Bea;;;;abj;false;extinct
Abkhazian;Abkhazian;ab;abk;abk;abk;false;living
Lampung Nyo;Lampung Nyo;;;;abl;false;living
Abanyom;Abanyom;;;;abm;false;living
Abua;Abua;;;;abn;false;living
Abon;Abon;;;;abo;false;living
Abellen Ayta;Abellen Ayta;;;;abp;false;living
Abaza;Abaza;;;;abq;false;living
Abron;Abron;;;;abr;false;living
Ambonese Malay;Ambonese Malay;;;;abs;false;living
Ambulas;Ambulas;;;;abt;false;living
Abure;Abure;;;;abu;false;living
Baharna Arabic;Baharna Arabic;;;;abv;false;living
Pal;Pal;;;;abw;false;living
Inabaknon;Inabaknon;;;;abx;false;living
Aneme Wake;Aneme Wake;;;;aby;false;living
Abui;Abui;;;;abz;false;living
Achagua;Achagua;;;;aca;false;living
Áncá;Áncá;;;;acb;false;living
Gikyode;Gikyode;;;;acd;false;living
Achinese;Achinese;;ace;ace;ace;false;living
Saint Lucian Creole French;Saint Lucian Creole French;;;;acf;false;living
Acoli;Acoli;;ach;ach;ach;false;living
Aka-Cari;Aka-Cari;;;;aci;false;extinct
Aka-Kora;Aka-Kora;;;;ack;false;extinct
Akar-Bale;Akar-Bale;;;;acl;false;extinct
Mesopotamian Arabic;Mesopotamian Arabic;;;;acm;false;living
Achang;Achang;;;;acn;false;living
Eastern Acipa;Eastern Acipa;;;;acp;false;living
Ta'izzi-Adeni Arabic;Ta'izzi-Adeni Arabic;;;;acq;false;living
Achi;Achi;;;;acr;false;living
Acroá;Acroá;;;;acs;false;extinct
Achterhoeks;Achterhoeks;;;;act;false;living
Achuar-Shiwiar;Achuar-Shiwiar;;;;acu;false;living
Achumawi;Achumawi;;;;acv;false;living
Hijazi Arabic;Hijazi Arabic;;;;acw;false;living
Omani Arabic;Omani Arabic;;;;acx;false;living
Cypriot Arabic;Cypriot Arabic;;;;acy;false;living
Acheron;Acheron;;;;acz;false;living
Adangme;Adangme;;ada;ada;ada;false;living
Adabe;Adabe;;;;adb;false;living
Dzodinka;Dzodinka;;;;add;false;living
Adele;Adele;;;;ade;false;living
Dhofari Arabic;Dhofari Arabic;;;;adf;false;living
Andegerebinha;Andegerebinha;;;;adg;false;living
Adhola;Adhola;;;;adh;false;living
Adi;Adi;;;;adi;false;living
Adioukrou;Adioukrou;;;;adj;false;living
Galo;Galo;;;;adl;false;living
Adang;Adang;;;;adn;false;living
Abu;Abu;;;;ado;false;living
Adap;Adap;;;;adp;false;living
Adangbe;Adangbe;;;;adq;false;living
Adonara;Adonara;;;;adr;false;living
Adamorobe Sign Language;Adamorobe Sign Language;;;;ads;false;living
Adnyamathanha;Adnyamathanha;;;;adt;false;living
Aduge;Aduge;;;;adu;false;living
Amundava;Amundava;;;;adw;false;living
Amdo Tibetan;Amdo Tibetan;;;;adx;false;living
Adyghe;Adyghe;;ady;ady;ady;false;living
Adzera;Adzera;;;;adz;false;living
Areba;Areba;;;;aea;false;extinct
Tunisian Arabic;Tunisian Arabic;;;;aeb;false;living
Saidi Arabic;Saidi Arabic;;;;aec;false;living
Argentine Sign Language;Argentine Sign Language;;;;aed;false;living
Northeast Pashayi;Northeast Pashayi;;;;aee;false;living
Haeke;Haeke;;;;aek;false;living
Ambele;Ambele;;;;ael;false;living
Arem;Arem;;;;aem;false;living
Armenian Sign Language;Armenian Sign Language;;;;aen;false;living
Aer;Aer;;;;aeq;false;living
Eastern Arrernte;Eastern Arrernte;;;;aer;false;living
Alsea;Alsea;;;;aes;false;extinct
Akeu;Akeu;;;;aeu;false;living
Ambakich;Ambakich;;;;aew;false;living
